Seat,Row,Column,Version
C103,C,103,
C109,C,109,
C115,C,115,
C121,C,121,
E103,E,103,
E109,E,109,
E115,E,115,
E121,E,121,
G103,G,103,
G109,G,109,
G115,G,115,
G121,G,121,
I103,I,103,
I109,I,109,
I115,I,115,
I121,I,121,
K103,K,103,
K109,K,109,
K115,K,115,
K121,K,121,
M103,M,103,
M109,M,109,
M115,M,115,
M121,M,121,
O103,O,103,
O109,O,109,
O115,O,115,
O121,O,121,
Q103,Q,103,
Q109,Q,109,
Q115,Q,115,
Q121,Q,121,
S103,S,103,
S109,S,109,
S115,S,115,
S121,S,121,
C102,C,102,
C108,C,108,
C114,C,114,
C120,C,120,
E102,E,102,
E108,E,108,
E114,E,114,
E120,E,120,
G102,G,102,
G108,G,108,
G114,G,114,
G120,G,120,
I102,I,102,
I108,I,108,
I114,I,114,
I120,I,120,
K102,K,102,
K108,K,108,
K114,K,114,
K120,K,120,
M102,M,102,
M108,M,108,
M114,M,114,
M120,M,120,
O102,O,102,
O108,O,108,
O114,O,114,
O120,O,120,
Q102,Q,102,
Q108,Q,108,
Q114,Q,114,
Q120,Q,120,
B102,B,102,
B108,B,108,
B114,B,114,
A100,A,100,
A106,A ,106,
A103,A,103,
A109,A ,109,
B103,B,103,
