Seat,Version,Row,Column
1,A,1,1
2,B,1,2
3,A,1,3
4,B,1,4
5,A,1,5
6,B,1,6
7,A,1,7
8,B,1,8
9,A,1,9
11,A,2,1
12,B,2,2
13,A,2,3
14,B,2,4
15,A,2,5
16,B,2,6
17,A,2,7
18,B,2,8
19,A,2,9
21,A,3,1
22,B,3,2
23,A,3,3
24,B,3,4
25,A,3,5
26,B,3,6
27,A,3,7
28,B,3,8
29,A,3,9
31,A,4,1
32,B,4,2
33,A,4,3
34,B,4,4
35,A,4,5
36,B,4,6
37,A,4,7
38,B,4,8
39,A,4,9
41,B,5,2
42,A,5,3
43,B,5,4
44,A,5,5
45,B,5,6
46,A,5,7
47,B,5,8
48,A,5,9
50,A,6,3
51,B,6,4
52,A,6,5
53,B,6,6
54,A,6,7
55,B,6,8
56,A,6,9
58,B,7,4
59,A,7,5
60,B,7,6
61,B,7,8
62,A,7,9
126,A,8,3
64,B,8,4
65,A,8,5
66,B,8,6
67,A,8,7
68,B,8,8
69,A,8,9
71,B,9,2
72,A,9,3
73,B,9,4
74,A,9,5
75,B,9,6
76,A,9,7
77,B,9,8
78,A,9,9
80,A,10,1
81,B,10,2
82,A,10,3
83,B,10,4
84,A,10,5
85,B,10,6
86,A,10,7
87,B,10,8
88,A,10,9
90,A,11,1
91,B,11,2
92,A,11,3
93,B,11,4
94,A,11,5
95,B,11,6
96,A,11,7
97,B,11,8
98,A,11,9
100,A,12,1
101,B,12,2
102,A,12,3
103,B,12,4
104,A,12,5
105,B,12,6
106,A,12,7
107,B,12,8
108,A,12,9
