Seat,Version,Row,Column
Row 1 Col 1,A,1,1
Row 1 Col 2,B,1,2
Row 1 Col 3,A,1,3
Row 1 Col 4,B,1,4
Row 2 Col 1,A,2,1
Row 2 Col 2,B,2,2
Row 2 Col 3,A,2,3
Row 2 Col 4,B,2,4
Row 2 Col 5,A,2,5
Row 2 Col 6,B,2,6
Row 2 Col 7,A,2,7
Row 2 Col 8,B,2,8
Row 2 Col 9,A,2,9
Row 3 Col 1,A,3,1
Row 3 Col 2,B,3,2
Row 3 Col 3,A,3,3
Row 3 Col 4,B,3,4
Row 3 Col 5,A,3,5
Row 3 Col 6,B,3,6
Row 3 Col 7,A,3,7
Row 3 Col 8,B,3,8
Row 3 Col 9,A,3,9
Row 4 Col 1,A,4,1
Row 4 Col 2,B,4,2
Row 4 Col 3,A,4,3
Row 4 Col 4,B,4,4
Row 4 Col 5,A,4,5
Row 4 Col 6,B,4,6
Row 4 Col 7,A,4,7
Row 4 Col 8,B,4,8
Row 4 Col 9,A,4,9
Row 5 Col 1,A,5,1
Row 5 Col 2,B,5,2
Row 5 Col 3,A,5,3
Row 5 Col 4,B,5,4
Row 5 Col 5,A,5,5
Row 5 Col 6,B,5,6
Row 5 Col 7,A,5,7
Row 5 Col 8,B,5,8
Row 5 Col 9,A,5,9
Row 6 Col 1,A,6,1
Row 6 Col 2,B,6,2
Row 6 Col 3,A,6,3
Row 6 Col 4,B,6,4
Row 6 Col 5,A,6,5
Row 6 Col 6,B,6,6
Row 6 Col 7,A,6,7
Row 6 Col 8,B,6,8
Row 6 Col 9,A,6,9
