Seat,Version,Row,Column
A1,A,1,1
A2,B,1,2
A3,A,1,3
A4,B,1,4
A5,A,1,5
A6,B,1,6
A7,A,1,7
A8,B,1,8
A9,A,1,9
A10,B,1,10
A11,A,1,11
A17,A,1,17
B1,A,2,1
B2,B,2,2
B3,A,2,3
B4,B,2,4
B5,A,2,5
B6,B,2,6
B7,A,2,7
B8,B,2,8
B9,A,2,9
B10,B,2,10
B11,A,2,11
B12,B,2,12
B13,A,2,13
B14,B,2,14
B15,A,2,15
B16,B,2,16
C1,A,3,1
C2,B,3,2
C3,A,3,3
C4,B,3,4
C5,A,3,5
C6,B,3,6
C7,A,3,7
C8,B,3,8
C9,A,3,9
C10,B,3,10
C11,A,3,11
C12,B,3,12
C13,A,3,13
C14,B,3,14
C15,A,3,15
C16,B,3,16
D1,A,4,1
D2,B,4,2
D3,A,4,3
D4,B,4,4
D5,A,4,5
D6,B,4,6
D7,A,4,7
D8,B,4,8
D9,A,4,9
D10,B,4,10
D11,A,4,11
D12,B,4,12
D13,A,4,13
D14,B,4,14
D15,A,4,15
E1,A,5,1
E2,B,5,2
E3,A,5,3
E4,B,5,4
E5,A,5,5
E6,B,5,6
E7,A,5,7
E8,B,5,8
E9,A,5,9
E10,B,5,10
E11,A,5,11
E12,B,5,12
E13,A,5,13
E14,B,5,14
E15,A,5,15
E16,B,5,16
F1,A,6,1
F2,B,6,2
F3,A,6,3
F4,B,6,4
F5,A,6,5
F6,B,6,6
F7,A,6,7
F8,B,6,8
F9,A,6,9
F10,B,6,10
F11,A,6,11
F12,B,6,12
F13,A,6,13
F14,B,6,14
F15,A,6,15
F16,B,6,16
G1,A,7,1
G2,B,7,2
G3,A,7,3
G4,B,7,4
G5,A,7,5
G6,B,7,6
G7,A,7,7
G8,B,7,8
G9,A,7,9
G10,B,7,10
G11,A,7,11
G12,B,7,12
G13,A,7,13
G14,B,7,14
G15,A,7,15
G16,B,7,16
H1,A,8,1
H2,B,8,2
H3,A,8,3
H4,B,8,4
H5,A,8,5
H6,B,8,6
H7,A,8,7
H8,B,8,8
H9,A,8,9
H10,B,8,10
H11,A,8,11
H12,B,8,12
H13,A,8,13
H14,B,8,14
H15,A,8,15
H16,B,8,16
J1,A,9,1
J2,B,9,2
J3,A,9,3
J4,B,9,4
J5,A,9,5
J6,B,9,6
J7,A,9,7
J8,B,9,8
J9,A,9,9
J10,B,9,10
J11,A,9,11
J12,B,9,12
J13,A,9,13
J14,B,9,14
J15,A,9,15
J16,B,9,16
K1,A,10,1
K2,B,10,2
K3,A,10,3
K4,B,10,4
K5,A,10,5
K6,B,10,6
K7,A,10,7
K10,B,10,10
K11,A,10,11
K12,B,10,12
K13,A,10,13
K14,B,10,14
K15,A,10,15
K16,B,10,16
K17,A,10,17
standby1,A,11,1
standby2,B,11,2
standby3,A,11,3
standby4,B,11,4
standby5,A,11,5
