Seat,Version,Row,Column
A1,A,1,1
B1,A,2,1
C1,A,3,1
D1,A,4,1
E1,A,5,1
F1,A,6,1
G1,A,7,1
H1,A,8,1
J1,A,9,1
K1,A,10,1
A3,B,1,3
B3,B,2,3
C3,B,3,3
D3,B,4,3
E3,B,5,3
F3,B,6,3
G3,B,7,3
H3,B,8,3
J3,B,9,3
K3,B,10,3
A5,A,1,5
B5,A,2,5
C5,A,3,5
D5,A,4,5
E5,A,5,5
F5,A,6,5
G5,A,7,5
H5,A,8,5
J5,A,9,5
K5,A,10,5
A7,B,1,7
B7,B,2,7
C7,B,3,7
D7,B,4,7
E7,B,5,7
F7,B,6,7
G7,B,7,7
H7,B,8,7
J7,B,9,7
K7,B,10,7
A9,A,1,9
B9,A,2,9
C9,A,3,9
D9,A,4,9
E9,A,5,9
F9,A,6,9
G9,A,7,9
H9,A,8,9
J9,A,9,9
A11,B,1,11
B11,B,2,11
C11,B,3,11
D11,B,4,11
E11,B,5,11
F11,B,6,11
G11,B,7,11
H11,B,8,11
J11,B,9,11
K11,B,10,11
B13,A,2,13
C13,A,3,13
D13,A,4,13
E13,A,5,13
F13,A,6,13
G13,A,7,13
H13,A,8,13
J13,A,9,13
K13,A,10,13
B15,B,2,15
C15,B,3,15
D15,B,4,15
E15,B,5,15
F15,B,6,15
G15,B,7,15
H15,B,8,15
J15,B,9,15
K15,B,10,15
