Seat,Row,Column,Version
F27,7,1,B
G25,8,2,A
F25,7,2,A
E25,6,2,A
G23,8,3,B
F23,7,3,B
E23,6,3,B
H21,9,4,A
G21,8,4,A
F21,7,4,A
E21,6,4,A
D21,5,4,A
C21,4,4,A
H19,9,5,B
G19,8,5,B
F19,7,5,B
E19,6,5,B
D19,5,5,B
C19,4,5,B
B19,3,5,B
H17,9,6,A
G17,8,6,A
F17,7,6,A
E17,6,6,A
D17,5,6,A
C17,4,6,A
B17,3,6,A
J11,10,7,B
H15,9,7,B
G15,8,7,B
F15,7,7,B
E15,6,7,B
D15,5,7,B
C15,4,7,B
B15,3,7,B
J9,10,8,A
H13,9,8,A
G13,8,8,A
F13,7,8,A
E13,6,8,A
D13,5,8,A
C13,4,8,A
B13,3,8,A
J7,10,9,B
H11,9,9,B
G11,8,9,B
F11,7,9,B
E11,6,9,B
D11,5,9,B
C11,4,9,B
B11,3,9,B
J5,10,10,A
H9,9,10,A
G9,8,10,A
F9,7,10,A
E9,6,10,A
D9,5,10,A
C9,4,10,A
B9,3,10,A
J3,10,11,B
H7,9,11,B
G7,8,11,B
F7,7,11,B
E7,6,11,B
D7,5,11,B
C7,4,11,B
B7,3,11,B
A7,2,11,B
J1,10,12,A
H5,9,12,A
G5,8,12,A
F5,7,12,A
E5,6,12,A
D5,5,12,A
C5,4,12,A
B5,3,12,A
A5,2,12,A
H3,9,13,B
G3,8,13,B
F3,7,13,B
E3,6,13,B
D3,5,13,B
C3,4,13,B
B3,3,13,B
A3,2,13,B
H1,9,14,A
G1,8,14,A
F1,7,14,A
E1,6,14,A
D1,5,14,A
C1,4,14,A
B1,3,14,A
A1,2,14,A
H2,9,16,B
G2,8,16,B
F2,7,16,B
E2,6,16,B
D2,5,16,B
C2,4,16,B
B2,3,16,B
A2,2,16,B
H4,9,17,A
G4,8,17,A
F4,7,17,A
E4,6,17,A
D4,5,17,A
C4,4,17,A
B4,3,17,A
A4,2,17,A
J2,10,18,B
H6,9,18,B
G6,8,18,B
F6,7,18,B
E6,6,18,B
D6,5,18,B
C6,4,18,B
B6,3,18,B
A6,2,18,B
J4,10,19,A
H8,9,19,A
G8,8,19,A
F8,7,19,A
E8,6,19,A
D8,5,19,A
C8,4,19,A
B8,3,19,A
A8,2,19,A
J6,10,20,B
H10,9,20,B
G10,8,20,B
F10,7,20,B
E10,6,20,B
D10,5,20,B
C10,4,20,B
B10,3,20,B
A10,2,20,B
J8,10,21,A
H12,9,21,A
G12,8,21,A
F12,7,21,A
E12,6,21,A
D12,5,21,A
C12,4,21,A
B12,3,21,A
A12,2,21,A
J10,10,22,B
H14,9,22,B
G14,8,22,B
F14,7,22,B
E14,6,22,B
D14,5,22,B
C14,4,22,B
B14,3,22,B
A14,2,22,B
J12,10,23,A
H16,9,23,A
G16,8,23,A
F16,7,23,A
E16,6,23,A
D16,5,23,A
C16,4,23,A
B16,3,23,A
H18,9,24,B
G18,8,24,B
F18,7,24,B
E18,6,24,B
D18,5,24,B
C18,4,24,B
B18,3,24,B
H20,9,25,A
G20,8,25,A
F20,7,25,A
E20,6,25,A
D20,5,25,A
C20,4,25,A
B20,3,25,A
H22,9,26,B
G22,8,26,B
E22,6,26,B
D22,5,26,B
C22,4,26,B
G24,8,27,A
F24,7,27,A
E24,6,27,A
G26,8,28,B
F26,7,28,B
E26,6,28,B
F28,7,29,A
